1482	eng	I don't speak Japanese.
1598	eng	I don't want to spend the rest of my life regretting it.
1632	eng	The cost of life increased drastically.
1864	eng	She's really smart, isn't she?
2019	eng	The news article painted the defendant as a guilty man, even though he had been proven innocent.
2160	eng	I created a shortcut on the desktop.
2174	eng	You piss me off!
2213	eng	All I need to know about life, I learned from a snowman.
2245	eng	You will find this in a hardware store.
2270	eng	We are haunted by an ideal life, and it is because we have within us the beginning and the possibility for it.
2411	eng	Yesterday we had fun.
2422	eng	I'll pay by cheque.
3190	fra	Peut-être que ce sera la même chose pour lui.
3229	fra	On ne peut pas tout attendre des écoles.
3247	fra	Où est le problème ?
3256	fra	Mais la possibilité semble improbable.
3372	fra	En quittant la gare, j'ai vu un homme.
3377	fra	T'as eu de la chance parce qu'il ne t'a pas mordu.
3378	fra	Je t'ai manqué ?
3504	fra	Mes amis disent toujours que je suis trop calme, mais ma famille dit toujours que je suis trop agaçante.
3518	fra	Regarde-moi quand je te parle !
3521	fra	Je ne sais pas quoi dire pour te consoler.
3555	fra	Le gouvernement français a lancé un jeu en ligne qui défie les contribuables d'équilibrer le budget national.
3611	fra	Un mathématicien est un homme qui ne comprend pas seulement une pensée qui lui est exposée, mais qui voit aussi sur quelle erreur de raisonnement elle est fondée.
3722	fra	C’est une histoire tellement triste.
3731	fra	David a un vif intérêt pour l'esthétique - les qualités qui rendent une peinture, une sculpture, une composition musicale ou un poème agréable à l'œil, à l'oreille ou à l'esprit.
3753	fra	Lorsque j'ai la migraine, l'aspirine ne soulage pas la douleur pour moi.
3759	fra	Il en avait assez d'être sans cesse diffamé par des gens qui étaient jaloux de ses capacités.
3794	fra	Son père n'aurait jamais approuvé ses fiançailles avec une fille qui ne partageait pas les mêmes croyances religieuses que sa famille.
3831	fra	Les cours reprennent bientôt.
3873	fra	De quoi parles-tu ?
3941	fra	J'ai hâte de partir en vacances.
3961	fra	La vie en prison est pire que la vie d'un animal.
3977	fra	La liberté n'est pas gratuite.
4029	fra	Quand on demande de l'argent, il faut accepter certaines conditions.
4061	fra	Ça ne me plaît pas autant que de m'occuper des enfants.
4118	fra	La seule manière sur Terre de multiplier le bonheur est de le diviser.
4252	fra	Les murs ont des oreilles.
4267	fra	Il est venu plusieurs fois.
4302	fra	Je regrette, je n'ai pas de monnaie.
4348	fra	Dans une ville on peut passer inaperçu, alors que dans un village c'est impossible.
6052	eng	Even plastic surgery won't do anything for your ugliness.
6266	fra	Je travaillerai aussi longtemps que je vivrai.
6275	fra	Je n'aime pas les maths, encore moins la physique.
6370	fra	Il faut que je travaille dur pour rattraper le temps perdu.
6393	fra	Je suis désolé pour ce malentendu.
6406	fra	Je joue au tennis de temps en temps.
6457	fra	Hier soir je me suis endormi avec la télévision allumée.
6557	fra	J'ai rencontré Ken au parc.
6652	fra	Je regrette d'être devenu professeur.
6736	fra	Je ne peux rien faire sans la climatisation en été.
6866	fra	Je connais le piano.
6898	fra	Chaque fois que je vois Mary, j'apprends d'elle quelque chose de nouveau et d'important.
6906	fra	J'étais sur le point de quitter ma maison.
6949	fra	Jouer du piano est mon point fort.
6981	fra	J'ai demandé à Tom de fermer la porte.
7010	fra	Après avoir regardé la télévision, je suis allé me coucher.
7015	fra	Je suis allé au parc pour jouer au tennis.
7027	fra	Je vais conduire jusqu'à Detroit.
7210	fra	Je veux acheter une paire de chaussures de ski.
7240	fra	Je n'ai pas lu tous ces livres.
7334	fra	J'ai pointé mon appareil photo sur elle.
7363	fra	J'ai toujours du mal à me souvenir des noms.
7380	fra	Je me lève d'habitude à six heures.
7485	fra	J'ai vécu à Osaka jusqu'à mes 6 ans.
7517	fra	J'habite cette maison seul.
7581	fra	Je t'aiderai du meilleur de ma force.
7611	fra	Ma sœur se lave les cheveux tous les matins.
7742	fra	Mon bureau est dans le centre-ville.
7778	fra	Mon point de vue est le contraire du vôtre.
7841	fra	Tout ce que je peux faire c'est travailler en silence.
7906	fra	J'ai deux fils, dont l'un est à Tokyo et l'autre à Nagoya.
7927	fra	Je n'avais pas le cœur de lui dire la vérité.
8072	fra	Je vais passer chez toi.
8102	fra	Je vous ferai tout, donc vous n'avez qu'à attendre ici.
8116	fra	Il ne reste plus qu'à mourir.
8190	fra	Les enfants ne peuvent pas fumer, ce n'est pas légal.
8196	fra	Ma sœur lave ses chaussures tous les dimanches.
8237	fra	J'ai perdu mon parapluie.
8276	fra	Son sac a été volé hier.
8333	fra	Au début, j'avais des difficultés à comprendre les gens qui parlaient trop vite.
8379	fra	Je t'appellerai ce soir.
8423	fra	C'est nuageux aujourd'hui.
8424	fra	Papa est impatient aujourd'hui.
8461	fra	Il n'est pas lui-même aujourd'hui.
8477	fra	Venez chez moi cet après-midi.
8565	fra	Le parlement a été dissous.
8576	fra	Connaissez-vous M. Takahashi ?
8580	fra	Des repas onéreux ne compensent en rien le manque de sommeil.
8583	fra	Un grand bâtiment se dresse ici.
8646	fra	Appelle-moi quand tu arrives.
8681	fra	Il ne faut pas avoir peur de faire des erreurs.
8735	fra	C'est tout ce que je peux dire pour le moment.
8749	fra	Kenji joue au tennis.
8873	fra	Comment puis-je me rendre au commissariat ?
8962	fra	Il est grand temps que tu te fasses couper les cheveux.
9055	fra	Je serai parti d'ici avant ton retour.
9066	fra	Je sais que tu es riche.
9100	fra	L'air est à l'homme ce que l'eau est au poisson.
9197	fra	L'éducation représente plus que d'aller à l'école.
9222	fra	J'ai une arête coincée dans ma gorge.
9326	fra	Je ne me sens pas d'attaque.
9333	fra	Es-tu fou ?
9410	fra	Tous les étudiants ont un libre accès à la bibliothèque.
9442	fra	Je l'ai vu.
9463	fra	Il viendra avec sa femme, comme c'est souvent le cas avec les étrangers.
9489	fra	Tout le monde dit que c'est un homme bon.
9515	fra	Je suis heureux de vous voir.
9578	fra	Je me fais construire une nouvelle maison.
9684	fra	Apporte-moi quelque chose à manger.
9761	fra	N'hésite pas à demander des conseils.
9779	fra	J'aimerais savoir le taux exact du change pour le yen.
9975	fra	Je serai de retour dans 10 minutes.
10029	fra	Je fais vingt miles par jour.
10090	fra	Pas moins de 50 passagers sont morts.
10121	fra	Un angle de 90 degrés est appelé un angle droit.
10146	fra	J'ai faim !
10191	fra	Tout est calme.
10228	fra	Prends-en autant que tu veux.
10318	fra	Un certain M. Jones est venu pendant votre absence.
10364	fra	Est-ce que tu as déjà été en France ?
10469	fra	Cette peinture de Rembrandt est une œuvre d'art.
10622	fra	Tout le monde sauf la famille Anderson viendra à la soirée jeudi prochain.
10625	fra	Je ne peux pas me concentrer avec tout ce bruit.
10665	fra	Peu importe l'âge, un enfant est un enfant.
10698	fra	Venez le jour qui vous convient.
10754	fra	Notre famille se compose de cinq personnes.
10867	fra	Je vous rendrai la monnaie demain.
11040	fra	Carole va visiter Miami le mois prochain.
11042	fra	Le concombre est de la même espèce que le melon.
11132	fra	Ôtez votre manteau.
11187	fra	Abritons-nous ici de la pluie.
11254	fra	J'ai besoin d'une boîte de cette taille.
11360	fra	Ne le dis pas à papa.
11394	fra	Les parties de chasse sont interdites dans ces paisibles forêts.
11403	fra	Je ne comprends pas ce mot.
11481	fra	Une campagne est en cours dans la société pour faire des économies de papier de photocopie.
11528	fra	De ces deux opinions, je préfère la deuxième à la première.
11648	fra	Il n'a jamais dit merci malgré tout ce que j'ai fait pour lui.
11688	fra	Mais c'est un sujet sur lequel nous reviendrons plus tard.
11725	fra	Jim semble connaître l'art de faire ami-ami avec les filles.
11762	fra	Judy est intelligente.
11837	fra	Susan cassa le plat exprès pour montrer sa colère.
11854	fra	Appelle Tom tout de suite.
11875	fra	Le docteur Skeleton est connu pour son étude sur les fantômes.
11983	fra	C'est la raison pour laquelle elle apprend l'anglais.
12023	fra	Gardez un œil sur l'enfant méchant.
12061	fra	Coupe le melon en 6 parts égales.
12092	fra	Pendant tout ce temps, j'étais là.
12186	fra	Un pont de chemin de fer est déjà en construction au-dessus de la rivière.
12255	fra	Pouvez-vous grimper à l'arbre ?
12293	fra	Je n'ai pas pu le persuader que c'était vrai.
12380	fra	C'est fou ! Ta mère parle 6 langues.
12458	fra	Ne me poussez pas trop fort. C'est dangereux.
12709	fra	À plus tard !
12720	fra	Mais vous n'êtes pas obligés de rester jusqu'à la fin.
12810	fra	Fais comme chez toi.
12841	fra	À la fin, elle a eu une bonne idée.
12867	fra	Savez-vous où je pourrais trouver des petites bottes de cowboy ?
12887	fra	Je ne peux pas me résoudre à aider un tel homme.
12946	fra	C'est mal de tricher aux jeux de cartes.
13010	fra	Oh, non ! Ma maison est en feu !
13165	fra	Comme j'ai un mauvais rhume, je vais consulter un médecin.
13182	fra	Bill est aussi grand que Jack.
13188	fra	Bill a arrêté de fumer.
13261	fra	Fred a tapé dans la balle.
13290	fra	Un hélicoptère peut décoller et atterrir à la verticale.
13331	fra	Les calculettes de poche coûtent autant qu'une paire de chaussettes et sont aussi essentielles qu'un crayon et une gomme pour les écoliers britanniques.
13442	fra	Faisons cela une autre fois.
13468	fra	Elle reviendra sur la scène avant longtemps.
13650	fra	Un motel ressemble à un hôtel, mais c'est plus petit et utilisé principalement par des gens qui voyagent en voiture.
13654	fra	Il se peut qu'il pleuve avant ce soir.
13657	fra	Bonjour, M. Freeman est-il là ?
13734	fra	La nourriture doit être bien mastiquée pour être digérée correctement.
13761	fra	Russel était un philosophe brillant, mais la plus simple des tâches pratiques le dépassait.
13771	fra	Est-ce que tu aimes les pommes ?
13868	fra	Il semble que Wataru se consacrait à ses études.
13943	fra	Il était malade depuis une semaine quand ils ont appelé le médecin.
14042	fra	L'espace est empli de mystères.
14127	fra	« Qui est dans la voiture ? » « Tom. »
14253	fra	Je vais faire de mon mieux.
14323	fra	Je me suis cassé la jambe droite.
14382	fra	N'abusez pas de moi, s'il vous plaît.
14642	fra	L'élection générale se tiendra en mai.
14693	fra	Peu de personnes ont conscience de leurs propres défauts.
14744	fra	Je vais lui demander où il est allé dimanche dernier.
14764	fra	Je me suis procuré un nouvel appareil photographique.
14920	fra	À chaque fois que je suis allé pour la voir, elle était déjà sortie.
14951	fra	J'ai été occupé toute la semaine.
15117	fra	Remettez bien le couteau à sa place après usage.
15135	fra	Terry a été très heureux d'apprendre cette nouvelle.
15366	fra	Je pense qu'il va bientôt revenir.
15471	fra	Il a fait de son fils un homme riche.
15536	fra	C'est sous son influence qu'elle a commencé à s'intéresser à l'écologie.
15634	fra	Je pense qu'elle est honnête.
15660	fra	Elle était accompagnée de sa mère.
15661	fra	Elle est passée sans même me jeter un regard.
15714	fra	De toute évidence, il ne comprenait pas ce que j'avais dit.
15726	fra	Ne cherche pas les défauts chez tes amis.
15799	eng	You are selling him short.
15855	eng	Don't you know that he passed away two years ago?
15865	eng	You don't have a temperature.
15975	eng	It's time for you to buy a new car.
16186	eng	You are the master of your own destiny.
16239	eng	Do you plan to go abroad?
16318	eng	You had better ask the doctor for advice.
16355	eng	You are old enough to know better.
16504	eng	Do you not play tennis?
16664	eng	You must adapt to a variety of conditions.
16716	eng	You have only to wait here for him.
16771	eng	You are always doubting my word.
16972	eng	Your suggestion amounts to an order.
17016	eng	Your voice carries well.
17185	eng	I envy you your luck.
17228	eng	Aren't you pushing it too far?
17230	eng	What you say is quite wide of the mark.
17239	eng	If what you say is true, it follows that he has an alibi.
17308	eng	Your English is improving.
17340	eng	I entirely approve of what you say.
17673	eng	If you're going to the beach, count me in.
17689	eng	You're the only one who can do it.
17782	eng	Your advice led me to success.
17825	eng	You talk next and you be quiet.
17900	eng	If you are wrong, I am wrong too.
17974	eng	Try to estimate how much you spent on books.
18104	eng	Shoes are sold in pairs.
